ADDRESS,ZIPCODE,LAST_UPDATE_DATE,YEAR,NPA_NAME,LATITUDE,LONGITUDE,Location_1,SCHOOL_DISTRICT,POPULATION_2010,MEDIAN_AGE,PCT_UNDER_18,PCT_OVER_65,PCT_HIGHSCHOOL_DIPLOMA,PCT_UNEMPLOYED,TOTAL_JOBS_AREA,MEDIAN_HOUSEHOLD_INCOME,PCT_RENTING,PCT_VACANT,PCT_FORECLOSURES,MEDIAN_HOUSE_AGE,SUB_STANDARD_STRUCTURE_COMPLAINTS,CRIMES_PROPERTY,CRIMES_PEOPLE,UNINSURED_RATE,SCHOOL_SUBSIDIZED_MEALS,COMMERCIAL_BLD_PERMITS,RESIDENTIAL_BLD_PERMITS,REPORTED_S,EMERGENCY_,PCT_POOR_STREETS,SANITARY_SEWER_OVERFLOW_RATE,PCT_NEAR_GROCERY_STORE,PCT_NEAR_PARK,PCT_NEAR_LIBRARY,PCT_VOTER_TURNOUT
6851 LAUREL VALLEY DR,76132,55:25.3,2017,Greater City View,32.6629,-97.4378,"(32.6629,-97.4378)",FORT WORTH ISD,23238,38,0.19321,0.166543,0.94893986,0.05901116,13322,62886,0.67211323,0.06031711,0,30,7,72.40333586,12.50947688,0.19032316,4.77645009,134,73,15,0,0.00501439,10,0.9071779,0.58985283,0.44293829,0
12328 DABORNE DR,76052,55:25.3,2017,Greater 287 Corridor,32.9492,-97.3968,"(32.9492,-97.3968)",NORTHWEST ISD,11677,35,0.2554465,0.05188314,0.89717086,0.06522198,909,102334,0.12811608,0.03300593,0,13,1,13.6416185,4.70134875,0.0684794,2.32938012,12,294,6,0,0,8,0.02459681,0.48337688,0,0
801 GROVE ST,76102,55:25.3,2016,Greater Downtown,32.7542,-97.3263,"(32.7542,-97.3263)",FORT WORTH ISD,6435,33,0.0710336,0.12037431,0.19696127,0.04833481,50706,57587,0.75745394,0.15558699,6.27615063,44,21,104.3527577,28.92386219,0.15825595,21.31151651,120,3,7,32,0.08363933,11,0.11711712,1,0.99160839,0.35411971
6016 EASTLAND ST,76119,55:25.3,2016,Lake Arlington,32.7055,-97.2267,"(32.7055,-97.2267)",FORT WORTH ISD,2995,37,0.25767863,0.1267378,0.30256162,0.1207367,2379,28483,0.37020906,0.08306709,1.31926121,58,12,74.68477207,25.21823472,0.36760427,0,11,38,4,117,0.0317623,31,0,0.23830659,0.81402337,0.396159
4363 MC CART AVE,76115,55:25.3,2016,Greater Seminary,32.6834,-97.3527,"(32.6834,-97.3527)",FORT WORTH ISD,20220,29,0.31697421,0.07569317,0.250553,0.08305439,3945,37255,0.33306709,0.0717675,0.16669445,63,36,37.62921457,13.57356777,0.35026583,81.64182896,26,67,13,44,0.08678425,12,0.72352794,0.85692809,1,0.29269655
4900 DONNELLY AVE,76107,55:25.3,2017,Greater Como\ Alamo Heights,32.7294,-97.3934,"(32.7294,-97.3934)",FORT WORTH ISD,9773,34,0.25214511,0.11873131,0.74879045,0.10269225,9320,35104,0.46730919,0.15012374,0,61,47,64.39053609,32.54467405,0.3513862,5.49101715,16,59,14,0,0.03032669,4,0.9819912,0.77959685,1,0
3728 LAWNDALE AVE,76133,55:25.3,2017,Wedgwood,32.6569,-97.3728,"(32.6569,-97.3728)",FORT WORTH ISD,18531,43,0.24207241,0.21618535,0.89437526,0.08306346,2878,59237,0.29354554,0.10527343,0,47,25,52.88644649,16.15974754,0.16186094,7.6020487,31,97,14,0,0.01373535,11,0.85505369,0.92930765,0.94452539,0
4121 MILLET AVE,76105,55:25.3,2016,Greater Polytechnic\ Wesleyan,32.7226,-97.2635,"(32.7226,-97.2635)",FORT WORTH ISD,16685,28,0.33528037,0.06412937,0.26240091,0.1318514,2228,26451,0.42208077,0.13301618,2.30414747,70,104,48.51205116,22.62666011,0.42867784,89.5137215,18,78,24,94,0.07499462,13,0.95767968,0.89590174,0.99970033,0.23300476
3528 E KELLIS ST,76119,55:25.3,2016,Greater Southeast,32.6866,-97.2732,"(32.6866,-97.2732)",FORT WORTH ISD,20680,28,0.34883393,0.10461727,0.31667377,0.13858207,4367,27366,0.47316319,0.14653465,1.51946819,64,67,83.45871732,23.32142185,0.3375106,95.78431286,27,83,23,105,0.04334932,12,0.49130392,0.76201238,0.57925532,0.31500934
2685 GARDENDALE DR,76120,55:25.3,2016,Ryanwood\ Eastchase,32.7405,-97.1783,"(32.7405,-97.1783)",FORT WORTH ISD,14431,32,0.25671661,0.08415138,0.30236349,0.11291284,2067,40721,0.60579577,0.09904683,0.32341527,40,16,52.69956084,17.37277189,0.23766469,27.21526854,11,46,14,99,0.0132626,10,0.59446484,0.78614798,0.35098053,0.36863447
3458 LULU ST,76106,55:25.3,2016,Diamond Hill-Jarvis,32.8067,-97.3332,"(32.8067,-97.3332)",FORT WORTH ISD,12833,27,0.35060622,0.06185806,0.23331898,0.12581498,2158,33798,0.40366412,0.10665576,0.30854674,63,44,45.64059001,16.37192061,0.41563055,64.87946073,4,37,11,38,0.03800822,0,0.98625267,0.98080114,1,0.17834167
3613 RIDGLEA COUNTRY CLUB DR,76116,55:25.3,2017,Clearfork\ River Park,32.696,-97.4285,"(32.696,-97.4285)",FORT WORTH ISD,6743,44,0.13177712,0.19284448,0.97066843,0.05265921,8410,73382,0.57864645,0.05699282,0,25,1,38.57922043,5.58733537,0.07891476,4.09158687,42,27,3,0,0.00104477,8,0.99006377,0.74996292,0.84042711,0
12701 SWEET BAY DR,76040,55:25.3,2016,Mosier Valley,32.8173,-97.0882,"(32.8173,-97.0882)",HURST EULESS BEDFORD ISD,5766,31,0.268023,0.05336872,0.18757382,0.08901422,2614,54312,0.49980791,0.08922323,1.00502513,16,6,36.26713843,10.17249005,0.28267612,0,17,29,6,38,0.00723922,5,0.9200492,0.97803549,0,0.27033368
5200 CAMPUS DR,76119,55:25.3,2016,Oakridge Terrace,32.6715,-97.296,"(32.6715,-97.296)",FORT WORTH ISD,7630,30,0.27553152,0.08651837,0.30292329,0.13085938,744,25380,0.73115981,0.08149239,3.91644909,61,3,38.95784687,17.57404449,0.33824442,22.47252126,18,4,3,59,0.08572979,20,0.43223833,0.77231015,0.99947575,0.22299431
4751 BLUE MOUND RD,76106,55:25.3,2017,Meacham Airport,32.8272,-97.3436,"(32.8272,-97.3436)",FORT WORTH ISD,5109,27,0.35031362,0.07871836,0.59910276,0.08843321,5680,39240,0.53472512,0.03569668,0,48,6,44.48774152,20.62023056,0.27467991,9.70119955,19,6,2,0,0.04836023,10,0.5181053,0.35036211,0.60657663,0
6367 BASSWOOD DR,76135,55:25.3,2017,Fort Worth Nature Center,32.8271,-97.4253,"(32.8271,-97.4253)",EAGLE MT SAGINAW ISD,2394,43,0.18183132,0.10473219,0.84414808,0.13843439,269,50195,0.22546478,0.07977983,0,34,1,23.92171076,11.59840522,0.26075645,5.6751208,2,3,2,0,0.04212447,0,0,0.64276677,0,0
2901 MAVERICK ST,76116,55:25.3,2016,Western Hills,32.7305,-97.4778,"(32.7305,-97.4778)",FORT WORTH ISD,15370,31,0.26458786,0.10183541,0.34894389,0.11900508,3295,27887,0.81003365,0.21057716,1.74927114,56,15,66.31142688,39.27373199,0.29082478,46.8115608,10,29,27,172,0.00424019,17,0.95401161,0.96628398,0.24411191,0.25295194
792 FERNWOOD ST,76114,55:25.3,2017,Lake Worth\ JRB,32.7752,-97.4128,"(32.7752,-97.4128)",CASTLEBERRY ISD,8466,37,0.17375293,0.11957076,0.82983736,0.06773322,21995,52902,0.46588618,0.13571419,0,41,12,41.45625367,12.91837933,0.22328264,6.77284508,5,15,5,0,0.065985,0,0.01233564,0.91229497,0,0
1058 E HUMBOLT ST,76104,55:25.3,2016,Historic Southside,32.7343,-97.3141,"(32.7343,-97.3141)",FORT WORTH ISD,3012,39,0.27050136,0.1550719,0.33608491,0.19719828,1758,15667,0.49842271,0.2529458,4.16233091,86,45,146.1329188,105.3245239,0.25106879,23.37801249,11,21,19,146,0.08258929,15,0,1,1,0.26727727
6230 FARRAH DR,76131,55:25.3,2016,Fossil Creek,32.8556,-97.3283,"(32.8556,-97.3283)",EAGLE MT SAGINAW ISD,11938,31,0.24514189,0.04703886,0.21957012,0.06278539,7867,64176,0.57513844,0.05775459,0.34650035,13,5,33.38988279,8.55953115,0.20211861,8.57948035,17,20,8,33,0.02634579,0,0.21858806,0.81386458,0.16367901,0.27292879
